episode,sample_index,question,action_prompt,reference,prediction,score,context
8,4,모치히토왕의 유배지는?,"질문에 대한 답변은 문맥에서 확인된 핵심 정보를 첫 문장에서 완전한 문장으로 제시하십시오. 대상의 명칭, 인물 이름, 수치나 날짜 등 필수 요소를 정확히 포함하고, 필요한 경우 주어와 서술어를 갖춘 자연스러운 문장 형태로 작성하십시오. 불필요한 배경 설명이나 반복은 배제하되, 의미가 모호해지지 않도록 최소한의 필수 맥락을 포함하십시오. 어투는 간결하고 중립적으로 유지하며, 답변은 한 문장으로 명확히 완료하십시오.",도사,응답 생성 중 오류가 발생했습니다.,0.1351255709244877,
8,5,나바라 국왕 앙리는 앙리 3세와 어떤 관계인가?,"질문에 대한 답변은 문맥에서 확인된 핵심 정보를 첫 문장에서 완전한 문장으로 제시하십시오. 대상의 명칭, 인물 이름, 수치나 날짜 등 필수 요소를 정확히 포함하고, 필요한 경우 주어와 서술어를 갖춘 자연스러운 문장 형태로 작성하십시오. 불필요한 배경 설명이나 반복은 배제하되, 의미가 모호해지지 않도록 최소한의 필수 맥락을 포함하십시오. 어투는 간결하고 중립적으로 유지하며, 답변은 한 문장으로 명확히 완료하십시오.",매부,응답 생성 중 오류가 발생했습니다.,0.098827722205069,
9,1,달라이 라마의 시종이자 부리야트 몽골인으로 러시아어에 능통한 사람은 누구인가?,"질문에 대한 답변은 문맥에서 확인된 핵심 명칭이나 단어만을 정확히 제시하십시오. 추가적인 수식어, 배경 설명, 비교, 평가, 의미 부연 등을 포함하지 말고, 불필요한 문장 구조 없이 해당 단어 또는 짧은 구절만 출력하십시오. 답변은 간결하고 중립적인 어투로 작성하며, 불필요한 완전한 문장 형태나 주관적 표현을 배제하고 한 줄로만 제공합니다.",아왕 도르지에프,아왕 도르지에프,1.0000000000000002,
9,2,이시미네 가즈히코가 1984년 출전한 일본 시리즈에서 기록한 안타 개수는?,"질문에 대한 답변은 문맥에서 확인된 핵심 명칭이나 단어만을 정확히 제시하십시오. 추가적인 수식어, 배경 설명, 비교, 평가, 의미 부연 등을 포함하지 말고, 불필요한 문장 구조 없이 해당 단어 또는 짧은 구절만 출력하십시오. 답변은 간결하고 중립적인 어투로 작성하며, 불필요한 완전한 문장 형태나 주관적 표현을 배제하고 한 줄로만 제공합니다.",2안타,2안타,1.0000000000000004,
9,3,태양의 후예에서 주인공들의 대사가 위트나 긴박함에서 흥미롭고 기발하다고 평론한 사람은 누구인가?,"질문에 대한 답변은 문맥에서 확인된 핵심 명칭이나 단어만을 정확히 제시하십시오. 추가적인 수식어, 배경 설명, 비교, 평가, 의미 부연 등을 포함하지 말고, 불필요한 문장 구조 없이 해당 단어 또는 짧은 구절만 출력하십시오. 답변은 간결하고 중립적인 어투로 작성하며, 불필요한 완전한 문장 형태나 주관적 표현을 배제하고 한 줄로만 제공합니다.",남궁인,남궁인,1.0000000000000009,
9,4,사카구치 도모타카가 골든 글러브상을 처음 받았을 때 기록한 보살의 수는?,"질문에 대한 답변은 문맥에서 확인된 핵심 명칭이나 단어만을 정확히 제시하십시오. 추가적인 수식어, 배경 설명, 비교, 평가, 의미 부연 등을 포함하지 말고, 불필요한 문장 구조 없이 해당 단어 또는 짧은 구절만 출력하십시오. 답변은 간결하고 중립적인 어투로 작성하며, 불필요한 완전한 문장 형태나 주관적 표현을 배제하고 한 줄로만 제공합니다.",7개,7개,1.0000000000000016,
9,5,크누트가 숨을 거둔 년도는?,"질문에 대한 답변은 문맥에서 확인된 핵심 명칭이나 단어만을 정확히 제시하십시오. 추가적인 수식어, 배경 설명, 비교, 평가, 의미 부연 등을 포함하지 말고, 불필요한 문장 구조 없이 해당 단어 또는 짧은 구절만 출력하십시오. 답변은 간결하고 중립적인 어투로 작성하며, 불필요한 완전한 문장 형태나 주관적 표현을 배제하고 한 줄로만 제공합니다.",2011년,2011년,1.0000000000000007,
10,1,천박하고 뻔뻔스럽고 다른 사람에게 해를 끼치며 불량기 있는 행동을 하는 사람이란 뜻을 가진 단어는?,"질문에 대한 답변은 문맥에서 확인된 핵심 명칭이나 인물 이름, 지명, 수치, 날짜 등 필수 정보를 그대로 사용하여 제시하십시오. 불필요한 설명이나 부연 없이 정확한 표현을 한 줄로 작성하며, 필요 시 조사·어미를 최소화하여 핵심 정보만 전달합니다. 답변은 간결하고 중립적인 어투를 유지하고, 오타나 변형 없이 문맥에 나타난 표기를 그대로 사용하십시오.",피카로,피카로(pícaro),0.9246483068154165,
10,2,초대 알렉산드리아 총대주교로 여겨지는 인물은?,"질문에 대한 답변은 문맥에서 확인된 핵심 명칭이나 인물 이름, 지명, 수치, 날짜 등 필수 정보를 그대로 사용하여 제시하십시오. 불필요한 설명이나 부연 없이 정확한 표현을 한 줄로 작성하며, 필요 시 조사·어미를 최소화하여 핵심 정보만 전달합니다. 답변은 간결하고 중립적인 어투를 유지하고, 오타나 변형 없이 문맥에 나타난 표기를 그대로 사용하십시오.",마르코,마르코,1.0000000000000007,
10,3,2010년 앤드류 가필드가 출연한 단편영화 <아임 히어>의 감독은?,"질문에 대한 답변은 문맥에서 확인된 핵심 명칭이나 인물 이름, 지명, 수치, 날짜 등 필수 정보를 그대로 사용하여 제시하십시오. 불필요한 설명이나 부연 없이 정확한 표현을 한 줄로 작성하며, 필요 시 조사·어미를 최소화하여 핵심 정보만 전달합니다. 답변은 간결하고 중립적인 어투를 유지하고, 오타나 변형 없이 문맥에 나타난 표기를 그대로 사용하십시오.",스파이크 존즈,스파이크 존즈,1.0000000000000009,
10,4,RB585AR의 후속은?,"질문에 대한 답변은 문맥에서 확인된 핵심 명칭이나 인물 이름, 지명, 수치, 날짜 등 필수 정보를 그대로 사용하여 제시하십시오. 불필요한 설명이나 부연 없이 정확한 표현을 한 줄로 작성하며, 필요 시 조사·어미를 최소화하여 핵심 정보만 전달합니다. 답변은 간결하고 중립적인 어투를 유지하고, 오타나 변형 없이 문맥에 나타난 표기를 그대로 사용하십시오.",에어로E,에어로E,1.0000000000000007,
10,5,목탁수구리의 몸통의 앞부분은 어떤 물고기를 닮았는가?,"질문에 대한 답변은 문맥에서 확인된 핵심 명칭이나 인물 이름, 지명, 수치, 날짜 등 필수 정보를 그대로 사용하여 제시하십시오. 불필요한 설명이나 부연 없이 정확한 표현을 한 줄로 작성하며, 필요 시 조사·어미를 최소화하여 핵심 정보만 전달합니다. 답변은 간결하고 중립적인 어투를 유지하고, 오타나 변형 없이 문맥에 나타난 표기를 그대로 사용하십시오.",가오리,가오리,1.0000000000000007,
